Title,genres,director,actors
breach,"['Science Fiction', 'Action', 'Horror']",['John Suits '],"['Cody Kearsley', 'Bruce Willis', 'Thomas Jane']"
"ariana grande: excuse me, i love you","['Music', 'Documentary']",['Paul Dugdale '],['Ariana Grande']
sylvie's love,"['Romance', 'Drama']",['Eugene Ashe '],"['Tessa Thompson', 'Nnamdi Asomugha', 'Ryan Michelle Bathe']"
wonder woman 1984,"['Action', 'Adventure', 'Fantasy']",['Patty Jenkins '],"['Gal Gadot', 'Chris Pine', 'Kristen Wiig']"
soul,"['Animation', 'Family', 'Comedy', 'Fantasy']",['Pete Docter '],"['Jamie Foxx', 'Tina Fey', 'Graham Norton']"
we can be heroes,"['Family', 'Action', 'Fantasy', 'Comedy']",['Robert Rodriguez '],"['Priyanka Chopra Jonas', 'Pedro Pascal', 'YaYa Gosselin']"
news of the world,"['Drama', 'Western', 'Adventure']",['Paul Greengrass '],"['Tom Hanks', 'Helena Zengel']"
one night in miami...,['Drama'],['Regina King '],"['Kingsley Ben-Adir', 'Eli Goree', 'Aldis Hodge']"
promising young woman,"['Thriller', 'Crime', 'Drama']",['Emerald Fennell '],"['Carey Mulligan', 'Bo Burnham', 'Alison Brie']"
pieces of a woman,['Drama'],[' '],"['Vanessa Kirby', 'Shia LaBeouf', 'Molly Parker']"
venom: let there be carnage,"['Science Fiction', 'Action', 'Adventure']",['Andy Serkis '],"['Tom Hardy', 'Michelle Williams', 'Naomie Harris']"
the many saints of newark,"['Crime', 'Drama']",['Alan Taylor '],"['Alessandro Nivola', 'Michael Gandolfini', 'Leslie Odom Jr.']"
the addams family 2,"['Family', 'Animation', 'Comedy', 'Fantasy', 'Adventure']",[' Greg Tiernan '],"['Oscar Isaac', 'Charlize Theron', 'Chloë Grace Moretz']"
bingo hell,"['Thriller', 'Horror']",['Gigi Saul Guerrero '],"['L. Scott Caldwell', 'Adriana Barraza', 'Joshua Caleb Johnson']"
black as night,"['Horror', 'Thriller']",['Maritte Lee Go '],"['Ashja Cooper', 'Theodus Crane', 'Kenneisha Thompson']"
old henry,['Western'],['Potsy Ponciroli '],"['Tim Blake Nelson', 'Scott Haze', 'Gavin Lewis']"
the jesus music,"['Documentary', 'Music']",['Erwin brothers '],"['Amy Grant', 'Michael W. Smith', 'TobyMac']"
mayday,"['Horror', 'Thriller', 'Drama', 'Mystery']",['Karen Cinorre '],"['Grace Van Patten', 'Mia Goth', 'Havana Rose Liu']"
god's not dead: we the people,['Drama'],['Vance Null '],"['David A. R. White', 'Antonio Sabàto Jr.', 'Francesca Battistelli']"
there's someone inside your house,"['Horror', 'Mystery']",['Patrick Brice '],"['Sydney Park', 'Theodore Pellerin', 'Asjha Cooper']"
no time to die,"['Action', 'Thriller', 'Adventure']",['Cary Joji Fukunaga '],"['Daniel Craig', 'Rami Malek', 'Léa Seydoux']"
mass,['Drama'],['Fran Kranz '],"['Reed Birney', 'Ann Dowd', 'Jason Isaacs']"
south of heaven,"['Crime', 'Drama', 'Thriller']",['Aharon Keshales '],"['Jason Sudeikis', 'Evangeline Lilly', 'Shea Whigham']"
the manor,['Horror'],['Axelle Carolyn '],"['Barbara Hershey', 'Bruce Davison', 'Stacey Travis']"
madres,"['Horror', 'Mystery']",['Ryan Zaragoza '],"['Elpidia Carrillo', 'Tenoch Huerta']"
justin bieber: our world,"['Music', 'Documentary']",[' Ratner '],"['Justin Bieber', 'Hailey Bieber']"
survive the game,"['Action', 'Thriller', 'Crime']",['James Cullen Bressack '],"['Chad Michael Murray', 'Bruce Willis']"
halloween kills,"['Horror', 'Thriller']",['David Gordon Green '],"['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak']"
the last duel,"['History', 'Drama', 'Action']",['Ridley Scott '],"['Matt Damon', 'Adam Driver', 'Jodie Comer']"
needle in a timestack,"['Drama', 'Romance', 'Science Fiction']",['John Ridley '],"['Leslie Odom Jr.', 'Freida Pinto', 'Cynthia Erivo']"
hard luck love song,"['Romance', 'Music', 'Drama', 'Thriller']",['Justin Corsbie '],"['Michael Dorman', 'Sophia Bush', 'Dermot Mulroney']"
"introducing, selma blair",['Documentary'],['Rachel Fleit '],['Selma Blair']
the velvet underground,"['Documentary', 'Music']",['Todd Haynes '],['The Velvet Underground']
night teeth,"['Horror', 'Thriller', 'Action']",['Adam Randall '],"['Jorge Lendeborg Jr.', 'Debby Ryan', 'Lucy Fry']"
dune,"['Science Fiction', 'Adventure']",['Denis Villeneuve '],"['Timothee Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']"
ron's gone wrong,"['Animation', 'Science Fiction', 'Family', 'Comedy']",[' Jean-Philippe Vine '],"['Zach Galifianakis', 'Jack Dylan Grazer', 'Ed Helms']"
the french dispatch,"['Drama', 'Comedy']",['Wes Anderson '],"['Owen Wilson', 'Benicio del Toro', 'Tony Revolori']"
the harder they fall,['Western'],['Jeymes Samuel '],"['Jonathan Majors', 'Idris Elba', 'Zazie Beetz']"
the electrical life of louis wain,"['Drama', 'History', 'Comedy']",['Will Sharpe '],"['Benedict Cumberbatch', 'Claire Foy', 'Andrea Riseborough']"
warning,['Science Fiction'],['Agata Alexander '],"['Alex Pettyfer', 'Alice Eve', 'Annabelle Wallis']"
passing,['Drama'],['Rebecca Hall '],"['Tessa Thompson', 'Ruth Negga', 'André Holland']"
hypnotic,"['Mystery', 'Thriller', 'Science Fiction']",[' Suzanne Coote '],"['Kate Siegel', ""Jason O'Mara"", 'Dulé Hill']"
antlers,"['Drama', 'Horror', 'Mystery']",['Scott Cooper '],"['Keri Russell', 'Jesse Plemons', 'Jeremy T. Thomas']"
army of thieves,"['Action', 'Thriller', 'Crime', 'Comedy']",['fer '],"['Matthias Schweighöfer', 'Nathalie Emmanuel', 'Ruby O. Fee']"
a mouthful of air,['Drama'],['Amy Koppelman '],"['Amanda Seyfried', 'Finn Wittrock', 'Jennifer Carpenter']"
the souvenir part ii,['Drama'],['Joanna Hogg '],"['Honor Swinton Byrne', 'Jaygann Ayeh', 'Richard Ayoade']"
paranormal activity: next of kin,"['Horror', 'Mystery']",['William Eubank '],"['Emily Bader', 'Roland Buck III', 'Dan Lippert']"
the spine of night,"['Animation', 'Fantasy', 'Action', 'Horror']",[' Morgan Galen King '],"['Richard E. Grant', 'Lucy Lawless', 'Patton Oswalt']"
violet,['Drama'],['Justine Bateman '],"['Olivia Munn', 'Luke Bracey', 'Justin Theroux']"
heart of champions,['Drama'],['Michael Mailer '],"['Michael Shannon', 'Alexander Ludwig', 'Charles Melton']"
eternals,"['Science Fiction', 'Action', 'Adventure']",[' Zhao '],"['Gemma Chan', 'Richard Madden', 'Kumail Nanjiani']"
red notice,"['Action', 'Comedy', 'Crime']",['Rawson Marshall Thurber '],"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot']"
finch,"['Science Fiction', 'Drama', 'Adventure']",['Miguel Sapochnik '],"['Tom Hanks', 'Caleb Landry Jones']"
spencer,"['Drama', 'History']",['n '],"['Kristen Stewart', 'Timothy Spall', 'Jack Farthing']"
dangerous,"['Action', 'Thriller']",['David Hackl '],"['Mel Gibson', 'Scott Eastwood', 'Tyrese Gibson']"
love hard,"['Comedy', 'Romance']",['nez '],"['Nina Dobrev', 'Jimmy O. Yang', 'Darren Barnet']"
the beta test,"['Thriller', 'Horror', 'Comedy']",[' PJ McCabe '],"['Jim Cummings', 'Virginia Newcomb', 'PJ McCabe']"
clifford the big red dog,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Animation']",['Walt Becker '],"['Jack Whitehall', 'Darby Camp', 'Tony Hale']"
"tick, tick... boom!","['Drama', 'Music']",['Lin-Manuel Miranda '],"['Andrew Garfield', 'Alexandra Shipp', 'Robin de Jesús']"
home sweet home alone,"['Comedy', 'Crime', 'Family']",['Dan Mazer '],"['Ellie Kemper', 'Rob Delaney', 'Archie Yates']"
apex,"['Action', 'Thriller', 'Science Fiction']",['Edward John Drake '],"['Neal McDonough', 'Bruce Willis']"
the power of the dog,"['Drama', 'Western']",['Jane Campion '],"['Benedict Cumberbatch', 'Kirsten Dunst', 'Jesse Plemons']"
bruised,['Drama'],['Halle Berry '],"['Halle Berry', 'Shamier Anderson', 'Adan Canto']"
the princess switch 3: romancing the star,"['Romance', 'Comedy']",['Michael Rohl '],"['Vanessa Hudgens', 'Sam Palladio', 'Nick Sagar']"
ghostbusters: afterlife,"['Fantasy', 'Comedy', 'Adventure', 'Science Fiction']",['Jason Reitman '],"['Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace']"
king richard,"['Drama', 'History']",['Reinaldo Marcus Green '],"['Will Smith', 'Aunjanue Ellis', 'Saniyya Sidney']"
extinct,"['Animation', 'Comedy', 'Family', 'Adventure']",[' Persi '],"['Adam DeVine', 'Rachel Bloom', 'Zazie Beetz']"
c'mon c'mon,['Drama'],['Mike Mills '],"['Joaquin Phoenix', 'Gaby Hoffmann', 'Woody Norman']"
black friday,"['Crime', 'Drama']",['Casey Tebo '],"['Devon Sawa', 'Ivana Baquero', 'Ryan Lee']"
zeros and ones,"['War', 'Thriller']",['Abel Ferrara '],"['Ethan Hawke', 'Valerio Mastandrea']"
